"","Remnant A. koa","Restored A. koa","Adj. P","Remnant C. trigynum","Restored C. trigynum","Adj. P","Remnant Grass","Restored Grass","Adj. P","Remnant M. polymorpha","Restored M. polymorpha","Adj. P","Remnant M. lessertiana","Restored M. lessertiana","Adj. P","Remnant R. hawaiensis","Restored R. hawaiensis","Adj. P"
"Acaulosporaceae","0.141 (0.209)","0.014 (0.011)",0.033,"0.191 (0.412)","0.018 (0.013)",0.204,"0.035 (0.032)","0.054 (0.104)",0.788,"0.264 (0.371)","0.011 (0.004)",0.012,"0.149 (0.332)","0.037 (0.019)",0.351,"0.111 (0.141)","0.028 (0.019)",0.174
"Ambisporaceae","0.022 (0.033)","0.032 (0.038)",0.687,"0.024 (0.028)","0.007 (0.001)",0.216,"0.033 (0.038)","0.037 (0.03)",0.817,"0.022 (0.019)","0.049 (0.017)",0.347,"0.063 (0.087)","0.131 (0.248)",0.77,"0.022 (0.039)","0.01 (0.006)",0.73
"Archaeosporaceae","0.1 (0.126)","0.187 (0.248)",0.098,"0.059 (0.056)","0.114 (0.131)",0.204,"0.132 (0.191)","0.156 (0.208)",0.788,"0.107 (0.229)","0.107 (0.161)",0.995,"0.161 (0.154)","0.129 (0.089)",0.496,"0.105 (0.2)","0.144 (0.201)",0.647
"Claroideoglomeraceae","0.125 (0.204)","0.102 (0.158)",0.768,"0.017 (0.021)","0.065 (0.083)",0.216,"0.038 (0.035)","0.106 (0.138)",0.113,"0.037 (0.041)","0.117 (0.248)",0.347,"0.048 (0.037)","0.078 (0.066)",0.351,"0.069 (0.098)","0.081 (0.095)",0.76
"Diversisporaceae","0.01 (0.005)","NP",NA,"NP","NP",NA,"NP","NP",NA,"NP","NP",NA,"0.016 (0)","NP",NA,"0.019 (0.017)","0.012 (0.011)",0.73
"Gigasporaceae","0.064 (0.088)","0.021 (0.018)",0.098,"0.048 (0.067)","0.026 (0.02)",0.265,"0.03 (0.02)","0.018 (0.019)",0.613,"0.244 (0.269)","0.028 (0.044)",0.002,"0.132 (0.228)","0.05 (0.033)",0.351,"0.064 (0.09)","0.021 (0.024)",0.284
"Glomeraceae","1.727 (1.158)","1.607 (1.019)",0.687,"1.863 (1.628)","1.639 (1.724)",0.545,"1.615 (1.466)","1.591 (1.03)",0.927,"1.612 (1.267)","1.822 (1.862)",0.622,"1.349 (1.734)","1.301 (1.659)",0.893,"1.758 (1.435)","1.614 (1.123)",0.73
"Glomeromycotina","0.121 (0.129)","0.077 (0.092)",0.125,"0.151 (0.2)","0.111 (0.13)",0.371,"0.356 (0.553)","0.13 (0.15)",0.112,"0.167 (0.115)","0.108 (0.107)",0.097,"0.395 (0.356)","0.341 (0.324)",0.762,"0.1 (0.1)","0.075 (0.073)",0.487
"Paraglomeraceae","0.012 (0.011)","0.051 (0.069)",0.098,"0.014 (0.01)","0.031 (0.046)",0.275,"0.01 (0.014)","0.023 (0.023)",0.239,"0.008 (0.005)","0.061 (0.113)",0.185,"0.04 (0.041)","0.037 (0.051)",0.893,"0.01 (0.009)","0.061 (0.094)",0.174
