"","A. koa","C. trigynum","Grass","M. lessertiana","M. polymorpha","R. hawaiensis","Soil"
"Acaulosporaceae",0.0907,0.109,0.3379,0.0653,0.3504,0.2,0.9101
"Ambisporaceae",0.717,0.7447,0.2384,0.0761,0.7804,NA,0.6442
"Archaeosporaceae",0.3357,0.2477,0.1667,0.8816,0.2106,0.4226,0.4004
"Claroideoglomeraceae",NA,NA,NA,0.2636,NA,NA,0.4451
"Diversisporaceae",NA,NA,NA,NA,NA,NA,0.9233
"Geosiphonaceae",NA,NA,NA,NA,NA,NA,NA
"Gigasporaceae",NA,NA,NA,0.1374,0.6708,NA,0.6318
"Glomeraceae",0.2266,0.3405,0.4392,0.8496,0.9616,0.7226,0.2784
"Glomeromycotina",0.2795,0.9387,0.395,0.2333,0.6103,0.9347,0.0077
"Paraglomeraceae",0.4398,0.6319,0.2341,0.543,0.2685,0.757,0.3029
